"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 24 23:43:22 BOT 2023","Tue Jan 24 23:43:23 BOT 2023","872","Default Suite","AutomationOfSwagLabs","tests.Logout","tests.Logout","logout","logout","Hacer logout"
"failed","Tue Jan 24 18:05:36 BOT 2023","Tue Jan 24 18:06:39 BOT 2023","63158","Suite","Test","tests.IncorrectLogin","tests.IncorrectLogin","incorrectLoginTest","Utilizar credenciales no válidas","Introducir credenciales no validas en la página de login"
"passed","Tue Jan 24 16:30:34 BOT 2023","Tue Jan 24 16:30:36 BOT 2023","2073","Default Suite","AutomationOfSwagLabs","tests.IncorrectLogin","tests.IncorrectLogin","incorrectLoginTest","Utilizar credenciales no válidas","Introducir credenciales no validas en la página de login"
"passed","Tue Jan 24 18:05:15 BOT 2023","Tue Jan 24 18:05:17 BOT 2023","2441","Suite","Test","tests.Login","tests.Login","loginTest","Utilizar credenciales válidas","Introducir credenciales validas en la página de login"
"passed","Tue Jan 24 18:06:51 BOT 2023","Tue Jan 24 18:06:52 BOT 2023","1108","Suite","Test","tests.CheckoutWithoutZipCode","tests.CheckoutWithoutZipCode","checkoutWithoutZipCode","Checkout sin zip code","Tratar de hacer checkout sin colocar el zip code del cliente en la página de your information."
"passed","Tue Jan 24 18:06:46 BOT 2023","Tue Jan 24 18:06:47 BOT 2023","1003","Suite","Test","tests.CheckoutWithoutLastname","tests.CheckoutWithoutLastname","checkoutWithoutLastname","Checkout sin apellido","Tratar de hacer checkout sin colocar el apellido del cliente en la página de your information."
"passed","Tue Jan 24 18:05:20 BOT 2023","Tue Jan 24 18:05:20 BOT 2023","165","Suite","Test","tests.AddItemToCart","tests.AddItemToCart","addItemToCart","Agregar producto","Agregar un producto al carrito"
"passed","Mon Jan 23 13:11:18 BOT 2023","Mon Jan 23 13:11:21 BOT 2023","3660","Suite","Test","tests.BuyItem","tests.BuyItem","buyItem","Comprar producto","Comprar un producto"
"passed","Tue Jan 24 17:56:31 BOT 2023","Tue Jan 24 17:56:32 BOT 2023","984","Default Suite","AutomationOfSwagLabs","tests.CheckoutWithoutName","tests.CheckoutWithoutName","checkoutWithouName","Checkout sin nombre","Tratar de hacer checkout sin colocar el nombre del cliente en la página de your information."
"passed","Tue Jan 24 18:05:32 BOT 2023","Tue Jan 24 18:05:34 BOT 2023","1986","Suite","Test","tests.BuyItem","tests.BuyItem","buyItem","Comprar producto","Comprar un producto"
"passed","Tue Jan 24 18:06:42 BOT 2023","Tue Jan 24 18:06:43 BOT 2023","850","Suite","Test","tests.CheckoutWithoutName","tests.CheckoutWithoutName","checkoutWithoutName","Checkout sin nombre","Tratar de hacer checkout sin colocar el nombre del cliente en la página de your information."
"passed","Tue Jan 24 18:05:27 BOT 2023","Tue Jan 24 18:05:28 BOT 2023","793","Suite","Test","tests.RemoveItemYourCartPage","tests.RemoveItemYourCartPage","removeItemFromCartYourCartPAge","remover producto","remover producto del carrito desde la pagina de Your Cart"
"passed","Tue Jan 24 18:05:24 BOT 2023","Tue Jan 24 18:05:24 BOT 2023","443","Suite","Test","tests.RemoveItemFromCart","tests.RemoveItemFromCart","removeItemFromCart","remover producto","remover producto del carrito"
"broken","Tue Jan 24 01:30:25 BOT 2023","Tue Jan 24 01:30:25 BOT 2023","0","Default Suite","AutomationOfSwagLabs","tests.IncorrectLogin","tests.IncorrectLogin","incorrectLoginTest","Utilizar credenciales no válidas","Introducir credenciales no validas en la página de login"
